epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,8.70296,1.31949,3.01499,2.13219,1.16422,0,0.43972,0.13659,0.18706,0.11298,0.00586,0.07597,0.00052,0.00011,1.56135,42.5308,2.79161,1.26565,0,0.00032906,0.00032906,0.0674231
2,15.2943,1.37723,2.81984,1.67876,1.19992,0,0.47288,0.31492,0.28613,0.1806,0.45076,0.29558,0.25805,0.14426,1.46237,3.23898,1.76629,1.2508,0,0.000632585,0.000632585,0.0343933
3,21.8823,1.36684,2.77742,1.67348,1.18553,0,0.49438,0.32817,0.29952,0.18613,0.43633,0.3011,0.26026,0.13249,1.49453,3.67191,1.75783,1.2425,0,0.000906111,0.000906111,0.00133346
4,28.6213,1.32227,2.63963,1.53325,1.16759,0,0.50174,0.33564,0.33315,0.21324,0.48769,0.3163,0.30089,0.16151,1.44008,3.27903,1.75123,1.23845,0,0.000865,0.000865,0.000865
5,35.1602,1.33921,2.65981,1.57538,1.16951,0,0.47896,0.33011,0.32798,0.20911,0.472,0.33287,0.3218,0.18192,1.41426,2.91726,1.75643,1.19873,0,0.00082,0.00082,0.00082
6,41.8398,1.30168,2.51689,1.48461,1.15402,0,0.44961,0.34254,0.33105,0.21979,0.49796,0.34392,0.33286,0.19507,1.4058,2.84833,1.66005,1.17492,0,0.000775,0.000775,0.000775
7,48.634,1.2692,2.53859,1.43788,1.14096,0,0.52553,0.33702,0.34317,0.22305,0.55068,0.33149,0.33788,0.19418,1.39417,3.02549,1.60364,1.20765,0,0.00073,0.00073,0.00073
8,55.3686,1.29734,2.56464,1.43596,1.13612,0,0.5286,0.34807,0.34944,0.22998,0.53127,0.3384,0.34327,0.20821,1.37251,2.82644,1.57279,1.18055,0,0.000685,0.000685,0.000685
9,62.0445,1.22739,2.44171,1.38038,1.11902,0,0.54416,0.33702,0.34953,0.23393,0.55085,0.34116,0.34788,0.21223,1.36658,2.83425,1.54895,1.16852,0,0.00064,0.00064,0.00064
10,69.0689,1.22451,2.45873,1.3973,1.10378,0,0.64088,0.30565,0.35922,0.23875,0.64965,0.30801,0.35641,0.213,1.32908,2.73208,1.61056,1.17741,0,0.000595,0.000595,0.000595
11,94.0365,1.21953,2.43248,1.41959,1.11498,0,0.51291,0.35773,0.36114,0.24592,0.52696,0.35851,0.35856,0.21141,1.33243,2.76324,1.52032,1.16088,0,0.00055,0.00055,0.00055
12,100.771,1.19974,2.42075,1.35787,1.09741,0,0.64174,0.33648,0.37745,0.25067,0.63047,0.33463,0.36655,0.21367,1.33704,2.73158,1.48034,1.16706,0,0.000505,0.000505,0.000505
13,107.273,1.21351,2.39594,1.39753,1.12223,0,0.55699,0.35253,0.37392,0.24854,0.54973,0.35635,0.37138,0.2246,1.32862,2.70129,1.51864,1.16444,0,0.00046,0.00046,0.00046
14,113.776,1.17371,2.32243,1.27289,1.08767,0,0.536,0.37983,0.38645,0.25827,0.54619,0.38398,0.37983,0.23398,1.32407,2.71313,1.47211,1.1764,0,0.000415,0.000415,0.000415
15,120.419,1.15034,2.27025,1.26057,1.0793,0,0.60827,0.34807,0.38339,0.26335,0.61859,0.34945,0.38375,0.23061,1.29216,2.66471,1.47155,1.14664,0,0.00037,0.00037,0.00037
16,126.891,1.12232,2.22707,1.22011,1.05657,0,0.66931,0.33149,0.38147,0.26205,0.73449,0.32597,0.38032,0.23388,1.31517,2.68482,1.4646,1.15954,0,0.000325,0.000325,0.000325
17,133.685,1.09235,2.18461,1.18298,1.04634,0,0.55992,0.36026,0.37913,0.26277,0.56598,0.36384,0.3798,0.23205,1.29148,2.66093,1.4652,1.14961,0,0.00028,0.00028,0.00028
18,140.325,1.08991,2.17411,1.17085,1.03381,0,0.70881,0.32459,0.38639,0.25968,0.59413,0.35635,0.38147,0.22997,1.29797,2.69177,1.44911,1.15228,0,0.000235,0.000235,0.000235
19,146.913,1.08033,2.14861,1.13461,1.03038,0,0.65376,0.34947,0.38602,0.26267,0.62267,0.3674,0.38627,0.22617,1.27913,2.65159,1.44757,1.1359,0,0.00019,0.00019,0.00019
20,153.519,1.04689,2.13625,1.12673,1.02711,0,0.68785,0.33425,0.3899,0.26557,0.69018,0.33539,0.38487,0.22977,1.27507,2.6557,1.43025,1.13824,0,0.000145,0.000145,0.000145
