epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6156,1.13519,2.65339,2.00008,1.15855,0,0.45471,0.28177,0.23699,0.14767,0.1496,0.11878,0.03384,0.01513,1.36407,28.1456,2.72618,1.26183,0,0.00032906,0.00032906,0.0674231
2,29.8694,1.22106,2.51183,1.5495,1.178,0,0.45119,0.33425,0.27677,0.15773,0.17262,0.13122,0.03817,0.0125,1.56222,10.3877,2.29334,1.42691,0,0.000632585,0.000632585,0.0343933
3,43.6973,1.28102,2.52085,1.63059,1.19962,0,0.46534,0.31906,0.27083,0.16538,0.44151,0.30801,0.24556,0.12485,1.50378,3.80385,2.63145,1.35469,0,0.000906111,0.000906111,0.00133346
4,57.9998,1.2243,2.40076,1.48584,1.18481,0,0.42749,0.32459,0.28445,0.18519,0.33571,0.28591,0.18665,0.07873,1.40905,4.03482,2.23309,1.30329,0,0.000865,0.000865,0.000865
5,72.0419,1.23661,2.4309,1.50537,1.18803,0,0.48304,0.33702,0.32201,0.20026,0.47494,0.34608,0.31147,0.17805,1.40974,3.08845,1.97301,1.29013,0,0.00082,0.00082,0.00082
6,86.1174,1.18083,2.28472,1.42996,1.16263,0,0.52204,0.3453,0.33838,0.21829,0.47226,0.37699,0.33486,0.20308,1.37144,2.75285,1.78319,1.29035,0,0.000775,0.000775,0.000775
7,100.238,1.16649,2.29346,1.37371,1.14895,0,0.49077,0.37155,0.33447,0.22542,0.49431,0.37293,0.32896,0.20106,1.33223,2.63367,2.04064,1.24243,0,0.00073,0.00073,0.00073
8,114.163,1.16804,2.2551,1.33616,1.12869,0,0.56931,0.37155,0.38012,0.25204,0.58487,0.37017,0.36985,0.22884,1.30295,2.74667,1.60425,1.24569,0,0.000685,0.000685,0.000685
9,128.305,1.10129,2.18351,1.27092,1.11709,0,0.50191,0.3826,0.37141,0.25021,0.55622,0.3674,0.36407,0.22423,1.26858,2.67009,1.54377,1.19663,0,0.00064,0.00064,0.00064
10,142.211,1.0914,2.17246,1.28641,1.10236,0,0.52558,0.38122,0.38368,0.25644,0.59388,0.3453,0.36921,0.22548,1.25388,2.6353,1.67215,1.22146,0,0.000595,0.000595,0.000595
11,174.743,1.17096,2.26623,1.3554,1.17762,0,0.53508,0.35912,0.35883,0.23458,0.53089,0.37046,0.34753,0.21159,1.25663,2.55352,2.07339,1.20252,0,0.00055,0.00055,0.00055
12,187.818,1.11939,2.18751,1.28856,1.1269,0,0.54637,0.38398,0.38098,0.26058,0.5515,0.38536,0.37364,0.22642,1.24238,2.63226,1.61113,1.19993,0,0.000505,0.000505,0.000505
13,201.254,1.13211,2.1723,1.36196,1.14619,0,0.60497,0.38812,0.40875,0.27309,0.6356,0.3826,0.40536,0.2434,1.25421,2.54171,1.50542,1.20427,0,0.00046,0.00046,0.00046
14,214.58,1.06097,2.08325,1.2046,1.09243,0,0.5986,0.39917,0.41433,0.28446,0.58397,0.39779,0.40047,0.24896,1.21116,2.54518,1.45245,1.17529,0,0.000415,0.000415,0.000415
15,227.884,1.04715,2.07074,1.2196,1.09712,0,0.59241,0.38674,0.4176,0.2887,0.60638,0.3895,0.40371,0.24633,1.20512,2.50222,1.4359,1.17682,0,0.00037,0.00037,0.00037
16,240.98,1.0124,1.96027,1.10665,1.06555,0,0.60069,0.39478,0.41916,0.28155,0.60314,0.3895,0.40575,0.24519,1.23774,2.48205,1.39945,1.19178,0,0.000325,0.000325,0.000325
17,254.379,0.97312,1.9109,1.04824,1.05874,0,0.64766,0.3895,0.42301,0.28593,0.65684,0.39503,0.4117,0.24588,1.20238,2.46708,1.44343,1.18187,0,0.00028,0.00028,0.00028
18,267.64,0.96873,1.91306,1.0317,1.03694,0,0.59058,0.41241,0.43273,0.29481,0.63215,0.3895,0.42322,0.25646,1.16891,2.52581,1.41447,1.15494,0,0.000235,0.000235,0.000235
19,280.864,0.93623,1.88111,0.98462,1.01999,0,0.6411,0.39503,0.43882,0.30301,0.677,0.37017,0.42002,0.25763,1.16131,2.40356,1.4175,1.16379,0,0.00019,0.00019,0.00019
20,294.72,0.9156,1.79038,0.95288,1.01576,0,0.6508,0.39642,0.4474,0.30365,0.67083,0.3826,0.42747,0.25566,1.15569,2.46387,1.36098,1.15598,0,0.000145,0.000145,0.000145
