epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4044,1.11333,2.54004,1.87247,1.13306,0,0.37727,0.2942,0.22039,0.14142,0.05821,0.03177,0.00385,0.00135,1.33953,40.0988,2.97583,1.25009,0,0.00032906,0.00032906,0.0674231
2,32.4198,1.18669,2.42098,1.47229,1.14692,0,0.41899,0.28729,0.23355,0.15198,0.13028,0.10083,0.04366,0.02161,1.3467,23.536,2.34467,1.28794,0,0.000647489,0.000647489,0.0344082
3,47.3872,1.22347,2.38829,1.56009,1.16434,0,0.38771,0.31748,0.2575,0.15906,0.34791,0.27762,0.20549,0.0908,1.41288,3.78448,3.3558,1.29692,0,0.000950919,0.000950919,0.00137827
4,61.7556,1.19732,2.3133,1.43588,1.15975,0,0.35018,0.27486,0.19484,0.11648,0.36044,0.25414,0.18841,0.10212,1.49337,3.32252,2.21939,1.36924,0,0.0009325,0.0009325,0.0009325
5,75.8457,1.20667,2.34604,1.43579,1.15653,0,0.37461,0.31215,0.25878,0.16299,0.36964,0.30801,0.2544,0.14647,1.40423,3.18436,2.08977,1.34569,0,0.00091,0.00091,0.00091
6,89.979,1.16378,2.23927,1.38691,1.13026,0,0.50504,0.35092,0.33042,0.21526,0.51529,0.34945,0.3261,0.19305,1.33427,3.01797,2.06661,1.24314,0,0.0008875,0.0008875,0.0008875
7,104.156,1.14269,2.24878,1.33868,1.12569,0,0.57199,0.33702,0.35585,0.23537,0.54976,0.35359,0.35067,0.21647,1.36111,2.66904,1.69672,1.25903,0,0.000865,0.000865,0.000865
8,118.143,1.15562,2.21019,1.31833,1.11488,0,0.56307,0.34353,0.36025,0.24127,0.56425,0.3384,0.35299,0.21706,1.32394,2.70699,1.6936,1.25167,0,0.0008425,0.0008425,0.0008425
9,131.905,1.11326,2.15565,1.28732,1.12143,0,0.50152,0.40055,0.37191,0.24377,0.50936,0.40608,0.37441,0.2184,1.29137,2.82323,1.57108,1.22018,0,0.00082,0.00082,0.00082
10,146.106,1.09987,2.13207,1.28899,1.09798,0,0.45059,0.35497,0.31232,0.20564,0.45234,0.35635,0.30824,0.17999,1.25083,2.61148,2.25637,1.21677,0,0.0007975,0.0007975,0.0007975
11,160.051,1.04516,2.06819,1.30792,1.07549,0,0.45403,0.39779,0.37171,0.24069,0.47653,0.37595,0.35874,0.21516,1.26879,2.62646,1.74701,1.20059,0,0.000775,0.000775,0.000775
12,174.181,1.09323,2.08095,1.24363,1.07557,0,0.47527,0.39779,0.36601,0.24877,0.58635,0.34263,0.35786,0.22297,1.27037,2.56755,1.65934,1.19918,0,0.0007525,0.0007525,0.0007525
13,189.135,1.03105,1.98319,1.20356,1.08023,0,0.51524,0.3582,0.36092,0.24255,0.5095,0.36602,0.35642,0.22063,1.30795,2.57269,1.7926,1.22022,0,0.00073,0.00073,0.00073
14,204.135,1.06878,2.24064,1.34609,1.06432,0,0.54698,0.37523,0.39123,0.2663,0.55414,0.37845,0.3823,0.23788,1.23564,2.50346,1.62374,1.19467,0,0.0007075,0.0007075,0.0007075
15,219.07,1.03497,2.04645,1.18602,1.07609,0,0.53539,0.39088,0.38841,0.26603,0.5435,0.38536,0.38055,0.23787,1.24652,2.4959,1.49759,1.19308,0,0.000685,0.000685,0.000685
16,233.414,1.00597,2.02913,1.12658,1.05142,0,0.59505,0.36736,0.40028,0.27201,0.59505,0.36736,0.38769,0.23676,1.22191,2.46872,1.51067,1.18395,0,0.0006625,0.0006625,0.0006625
17,247.649,1.00908,2.00794,1.12854,1.06544,0,0.57902,0.37431,0.37542,0.25785,0.57474,0.37155,0.36726,0.22925,1.22117,2.56445,1.83628,1.20386,0,0.00064,0.00064,0.00064
18,262.321,1.02175,2.01273,1.12986,1.0636,0,0.58394,0.37983,0.39636,0.27416,0.57563,0.39156,0.38859,0.24036,1.21531,2.5815,1.47182,1.16624,0,0.0006175,0.0006175,0.0006175
19,278.06,0.96631,1.88229,1.03763,1.02755,0,0.65087,0.35792,0.3964,0.26936,0.64917,0.36188,0.39038,0.24032,1.20037,2.51712,1.47585,1.17394,0,0.000595,0.000595,0.000595
20,293.084,0.97727,1.91901,1.04207,1.03775,0,0.61169,0.38536,0.41407,0.28414,0.61737,0.37885,0.40068,0.25203,1.18383,2.55464,1.47861,1.17863,0,0.0005725,0.0005725,0.0005725
21,307.114,0.9572,1.83087,1.01125,1.03035,0,0.5599,0.39641,0.41319,0.27396,0.56875,0.37983,0.39388,0.23368,1.23,2.60354,1.51008,1.18306,0,0.00055,0.00055,0.00055
22,321.034,0.93974,1.81299,1.00969,1.01696,0,0.5889,0.38122,0.39379,0.271,0.5962,0.38398,0.38752,0.24038,1.20091,2.48136,1.55727,1.17973,0,0.0005275,0.0005275,0.0005275
23,335.09,0.89651,1.79632,0.97243,1.01033,0,0.57119,0.40055,0.41306,0.28204,0.57088,0.40193,0.40693,0.24464,1.19575,2.43618,1.54819,1.17181,0,0.000505,0.000505,0.000505
24,349.334,0.9371,1.83305,1.00344,1.0328,0,0.62257,0.35773,0.39955,0.27298,0.62229,0.35497,0.38867,0.24013,1.20495,2.4241,1.55261,1.1627,0,0.0004825,0.0004825,0.0004825
25,363.335,0.89527,1.74501,0.93719,1.00621,0,0.55714,0.41713,0.41876,0.27809,0.58887,0.39779,0.40225,0.24068,1.19863,2.48148,1.48076,1.16547,0,0.00046,0.00046,0.00046
26,378.196,0.92259,1.76883,0.98151,1.02628,0,0.5942,0.39503,0.41779,0.29134,0.63369,0.37983,0.41004,0.25285,1.1814,2.51922,1.44213,1.16786,0,0.0004375,0.0004375,0.0004375
27,392.708,0.91371,1.78661,0.95634,1.00178,0,0.59888,0.37983,0.41654,0.28618,0.59528,0.35773,0.38812,0.24142,1.16796,2.46199,1.47117,1.15375,0,0.000415,0.000415,0.000415
28,406.804,0.89087,1.76503,0.94634,1.00862,0,0.62205,0.38536,0.42898,0.29879,0.62959,0.38812,0.41703,0.26325,1.18134,2.37643,1.40376,1.15091,0,0.0003925,0.0003925,0.0003925
